epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,373.803,0.37705,0.97317,0.98858,0.15667,0.000222087,0.000222087,0.000222087
2,648.022,0.05944,0.97231,0.9863,0.38673,0.000381566,0.000381566,0.000381566
3,949.706,0.05829,0.97459,0.98687,0.09594,0.000478157,0.000478157,0.000478157
4,1243.13,0.0584,0.97459,0.98687,0.11167,0.000384001,0.000384001,0.000384001
5,1541.61,0.04974,0.97888,0.99172,0.10498,0.000289669,0.000289669,0.000289669
6,1835.84,0.04153,0.9843,0.99743,0.04593,0.000195336,0.000195336,0.000195336
7,2149.68,0.03105,0.97745,0.99058,0.22752,0.000101003,0.000101003,0.000101003
